date,price,sma,signal
2026-06-18,180.84,180.84,HOLD
2026-06-19,178.67,178.67,HOLD
2026-06-22,176.2,176.2,HOLD
2026-06-23,174.59,174.59,HOLD
2026-06-24,174.11,176.882,BUY
2026-06-25,175.66,175.846,HOLD
2026-06-26,173.59,174.83,HOLD
2026-06-29,172.87,174.164,HOLD
2026-06-30,174.72,174.19,HOLD
2026-07-01,172.19,173.806,HOLD
2026-07-02,172.65,173.204,HOLD
2026-07-03,174.29,173.344,HOLD
2026-07-06,173.57,173.484,HOLD
2026-07-07,172.79,173.098,HOLD
2026-07-08,173.45,173.35,HOLD
2026-07-09,173.22,173.464,HOLD
2026-07-10,171.54,172.914,HOLD
2026-07-13,169.91,172.182,BUY
2026-07-14,167.31,171.086,BUY
2026-07-15,165.59,169.514,BUY
2026-07-16,163.44,167.558,BUY
2026-07-17,162.02,165.654,BUY
